,Unnamed: 0,text,target,source,binary
1600000,0,the da vinci code book is just awesome,1.0,kaggle,1
1600001,1,this was the first clive cussler ve ever read but even books like relic and da vinci code were more plausible than this,1.0,kaggle,1
1600002,2,liked the da vinci code lot,1.0,kaggle,1
1600003,3,liked the da vinci code lot,1.0,kaggle,1
1600004,4,liked the da vinci code but it ultimatly did not seem to hold it own,1.0,kaggle,1
1600005,5,that not even an exaggeration and at midnight we went to wal mart to buy the da vinci code which is amazing of course,1.0,kaggle,1
1600006,6,loved the da vinci code but now want something better and different,1.0,kaggle,1
1600007,7,thought da vinci code was great same with kite runner,1.0,kaggle,1
1600008,8,the da vinci code is actually good movie,1.0,kaggle,1
1600009,9,thought the da vinci code was pretty good book,1.0,kaggle,1
1600010,10,the da vinci code is one of the most beautiful movies ive ever seen,1.0,kaggle,1
1600011,11,the da vinci code is an amazing book do not get me wrong,1.0,kaggle,1
1600012,12,then turn on the light and the radio and enjoy my da vinci code,1.0,kaggle,1
1600013,13,the da vinci code was really good,1.0,kaggle,1
1600014,14,love da vinci code,1.0,kaggle,1
1600015,15,loved da vinci code,1.0,kaggle,1
1600016,16,to night the da vinci code and beautiful mind,1.0,kaggle,1
1600017,17,the da vinci code is an awesome book,1.0,kaggle,1
1600018,18,thing is enjoyed the da vinci code,1.0,kaggle,1
1600019,19,very da vinci code slash amazing race,1.0,kaggle,1
1600020,20,hey loved the da vinci code,1.0,kaggle,1
1600021,21,also loved the da vinci code,1.0,kaggle,1
1600022,22,really enjoyed the da vinci code but thought would be disappointed in the other books,1.0,kaggle,1
1600023,23,do like angels and demons more then the da vinci code,1.0,kaggle,1
1600024,24,the da vinci code was really good movie,1.0,kaggle,1
1600025,25,yeah da vinci code is an awesome movie liked it pretty interesting,1.0,kaggle,1
1600026,26,really like the da vinci code,1.0,kaggle,1
1600027,27,da vinci code is amazing,1.0,kaggle,1
1600028,28,the da vinci code was awesome,1.0,kaggle,1
1600029,29,the da vinci code backtory on various religious historical figures and such were interesting at times but more of scifi girl at heart,1.0,kaggle,1
1600030,30,book love the da vinci code,1.0,kaggle,1
1600031,31,and then we went to see the da vinci code which was crazy awesome and ian mckellen is my old gay husband,1.0,kaggle,1
1600032,32,now some people will say to me joe liked the da vinci code you re being too hard on dan brown,1.0,kaggle,1
1600033,33,love the da vinci code,1.0,kaggle,1
1600034,34,well did enjoy bridget jones and loved the da vinci code so this idea appeals to me and it takes chick lit into one of the few arenas that the genre has yet to explore,1.0,kaggle,1
1600035,35,just read da vinci code which was awesome by the way,1.0,kaggle,1
1600036,36,the da vinci code is excellent if you read it as normal as you read other novels,1.0,kaggle,1
1600037,37,loved the da vinci code,1.0,kaggle,1
1600038,38,love reading the da vinci code,1.0,kaggle,1
1600039,39,telling you the da vinci code is an awesome book,1.0,kaggle,1
1600040,40,then again my opinion may be bit biased because loved the da vinci code soundtrack,1.0,kaggle,1
1600041,41,and was quite pleased with my own open mindedness after having loved the da vinci code so much that was able to get equal enjoyment seeing how the other side reads,1.0,kaggle,1
1600042,42,love the da vinci code,1.0,kaggle,1
1600043,43,da vinci code is awesome,1.0,kaggle,1
1600044,44,the da vinci code is awesome,1.0,kaggle,1
1600045,45,the da vinci code is such an awesome book,1.0,kaggle,1
1600046,46,love the da vinci code,1.0,kaggle,1
1600047,47,loved the da vinci code,1.0,kaggle,1
1600048,48,the da vinci code is awesome,1.0,kaggle,1
1600049,49,oh so beautiful da vinci code,1.0,kaggle,1
1600050,50,loved the da vinci code,1.0,kaggle,1
1600051,51,the da vinci code is an awesome book,1.0,kaggle,1
1600052,52,da vinci code is an awesome book,1.0,kaggle,1
1600053,53,miss ripping acoustic music and the da vinci code,1.0,kaggle,1
1600054,54,personally neither hate nor love the da vinci code,1.0,kaggle,1
1600055,55,looks amazingly fun and possibly bit cold do not tell anyone but da vinci code is an awesome book,1.0,kaggle,1
1600056,56,da vinci code is of course awesome book but you will figure that out on page,1.0,kaggle,1
1600057,57,love the da vinci code,1.0,kaggle,1
1600058,58,loved the da vinci code,1.0,kaggle,1
1600059,59,but seriously the da vinci code is an awesome book,1.0,kaggle,1
1600060,60,da vinci code is awesome,1.0,kaggle,1
1600061,61,love the da vinci code,1.0,kaggle,1
1600062,62,the da vinci code is awesome,1.0,kaggle,1
1600063,63,omg love the da vinci code that is such an awesome book,1.0,kaggle,1
1600064,64,the da vinci code is an awesome book,1.0,kaggle,1
1600065,65,the da vinci code is still one of the most awesomest books ve ever read,1.0,kaggle,1
1600066,66,did love the da vinci code though,1.0,kaggle,1
1600067,67,the da vinci code is awesome,1.0,kaggle,1
1600068,68,love the da vinci code too,1.0,kaggle,1
1600069,69,shit love the da vinci code,1.0,kaggle,1
1600070,70,the da vinci code really is awesome book you also got the other two books by dan brown,1.0,kaggle,1
1600071,71,the da vinci code was an awesome book just finished it,1.0,kaggle,1
1600072,72,da vinci code is awesome,1.0,kaggle,1
1600073,73,love the da vinci code,1.0,kaggle,1
1600074,74,love the da vinci code,1.0,kaggle,1
1600075,75,love the da vinci code,1.0,kaggle,1
1600076,76,damn love da vinci code,1.0,kaggle,1
1600077,77,the da vinci code was fucking awesome,1.0,kaggle,1
1600078,78,the da vinci code was awesome,1.0,kaggle,1
1600079,79,da vinci code was awesome and sounds more probable to me than half the crap fr,1.0,kaggle,1
1600080,80,loved the da vinci code and the like,1.0,kaggle,1
1600081,81,da vinci code that was awesome,1.0,kaggle,1
1600082,82,loved the da vinci code but it raises lot of theological questions most of which are very absurd,1.0,kaggle,1
1600083,83,the da vinci code is an awesome book,1.0,kaggle,1
1600084,84,yeah the da vinci code is awesome,1.0,kaggle,1
1600085,85,the da vinci code is awesome though,1.0,kaggle,1
1600086,86,love the da vinci code,1.0,kaggle,1
1600087,87,the da vinci code is an awesome book,1.0,kaggle,1
1600088,88,aaron mom and aaron knew how much loved the da vinci code so we took the tour inside,1.0,kaggle,1
1600089,89,da vinci code is awesome,1.0,kaggle,1
1600090,90,loved the da vinci code,1.0,kaggle,1
1600091,91,the da vinci code is awesome,1.0,kaggle,1
1600092,92,love to go see da vinci code but probably not next week,1.0,kaggle,1
1600093,93,the da vinci code was awesome,1.0,kaggle,1
1600094,94,im sick of books right now but must say da vinci code was awesome,1.0,kaggle,1
1600095,95,finished reading the da vinci code which is an awesome book,1.0,kaggle,1
1600096,96,that and the da vinci code is awesome so far,1.0,kaggle,1
1600097,97,love the da vinci code,1.0,kaggle,1
1600098,98,and da vinci code is awesome,1.0,kaggle,1
1600099,99,read angels demons first and am now onto the da vinci code which so far is awesome,1.0,kaggle,1
1600100,100,da vinci code is an awesome book,1.0,kaggle,1
1600101,101,da vinci code is awesome,1.0,kaggle,1
1600102,102,read the da vinci code is awesome but angel and demons is even better if you wanna read dan brown books,1.0,kaggle,1
1600103,103,the da vinci code is awesome,1.0,kaggle,1
1600104,104,oh oh oh and loved the da vinci code,1.0,kaggle,1
1600105,105,love the da vinci code,1.0,kaggle,1
1600106,106,the da vinci code is awesome,1.0,kaggle,1
1600107,107,and love da vinci code illustrated edition is the only way to go,1.0,kaggle,1
1600108,108,loved the da vinci code and can not wait for the movie,1.0,kaggle,1
1600109,109,loved da vinci code recently,1.0,kaggle,1
1600110,110,love the da vinci code,1.0,kaggle,1
1600111,111,to their right also read and loved the da vinci code,1.0,kaggle,1
1600112,112,loved da vinci code,1.0,kaggle,1
1600113,113,and love reading da vinci code,1.0,kaggle,1
1600114,114,and love da vinci code too,1.0,kaggle,1
1600115,115,and love da vinci code too,1.0,kaggle,1
