,statename,stateabbr,statefip,tweetidg,tweet,sentcat_l,groupref_l,food_l,exclude_l,notes,nonfoodlocation,ambiguous,nstatedenominator,county,zipcode,tract2010,happy,username,timestamp,timezone,followers,latitude,longitude,negative,racecat,raceterm,raceterm2,raceterm3,raceterm4,raceterm5,sentrace,race,blackcat,middlecat,hispcat,asiancat,sentblack,sentmiddle,senthisp,sentasian,middlecat1,hispcat1,sentmiddle1,senthisp1,coder,AR,sentcat3,happy_manual,sad_manual,tract2010s,nstate,text,target
0,Alabama,AL,01,588687492888551424g,I'm the type of nigga tryna get rich,0,0.0,0,0.0,,0.0,0.0,893865,1053,36502.0,1053970700.0,0,Aaron Margolin,2015-04-16 06:56:50.628,Pacific Time (US & Canada),,31.012144,-87.487437,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,ryan,,0.0,0.0,0.0,01053970700,93.0,the type of nigga tryna get rich,0
1,Alabama,AL,01,592553981601304576g,@SheBlasiannn Smuckers,0,0.0,0,1.0,,0.0,0.0,893865,1065,35474.0,1065040000.0,0,IX XXII,2015-04-26 23:00:53.270,Eastern Time (US & Canada),,32.990393,-87.634194,0.0,Asian,asian,,,,,0.0,1,,,,1.0,,,,0.0,,,,,lynn,,0.0,0.0,0.0,01065040000,93.0,smuckers,0
2,Alabama,AL,01,717371522956984320g,@proteinwisdom We even make Japanese cars and European jets here.,0,,0,,,,,893865,1073,35223.0,1073010703.0,0,Bruce,2016-04-05 09:21:14.301,Pacific Time (US & Canada),1688.0,33.47747748,-86.77393883,0.0,Asian,japanese,,,,,0.0,1,,,,1.0,,,,0.0,,,,,shrikha,,0.0,0.0,0.0,01073010703,93.0,we even make japanese cars and european jets here,0
3,Alabama,AL,01,590292541125328898g,I wanted to see my nigga when I went back home but now I can't this shit is going to be hard af for me,-1,0.0,0,0.0,,0.0,0.0,893865,1081,36801.0,1081041300.0,0,Allison Rapp,2015-04-20 17:14:43.807,Eastern Time (US & Canada),,32.641406,-85.391869,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,ryan,,-1.0,0.0,1.0,01081041300,93.0,wanted to see my nigga when went back home but now can not this shit is going to be hard af for me,0
4,Alabama,AL,01,592522044480225282g,Wth stevo is that a nigga? https://t.co/5VNuHvmeqC,0,0.0,0,0.0,,0.0,0.0,893865,1077,35633.0,1077011101.0,0,Ebony Lee Hutch,2015-04-26 20:53:58.833,Central Time (US & Canada),,34.843053,-87.692049,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,lynn,,0.0,0.0,0.0,01077011101,93.0,wth stevo is that nigga,0
5,Alabama,AL,01,678451184655597568g,"@samswey @BernieSanders not true, there are more white people who are doing crimes, blacks get more publicity. They have a lower population",-1,1.0,0,,,,,893865,1127,35501.0,1127020300.0,0,Preacher Son,2015-12-19 22:45:42.634,null,2.0,33.83642399,-87.27506391,0.0,Black,blacks,,,,,0.0,1,1.0,,,,0.0,,,,,,,,shrikha,,-1.0,0.0,1.0,01127020300,93.0,not true there are more white people who are doing crimes blacks get more publicity they have lower population,0
6,Alabama,AL,01,694583401366581250g,Outstanding Muay Thai Kickboxing class this afternoon! Everyone trained hard and gave great https://t.co/cS751vtJMQ,0,,0,,,,,893865,1073,35209.0,1073010705.0,0,Art/Design Jobs - LA,2016-02-02 11:09:22.472,Mountain Time (US & Canada),620.0,33.46317112,-86.82024696,0.0,Asian,thai,,,,,0.0,1,,,,1.0,,,,0.0,,,,,shrikha,,0.0,0.0,0.0,01073010705,93.0,outstanding muay thai kickboxing class this afternoon everyone trained hard and gave great,0
7,Alabama,AL,01,592541591706980352g,Niggah got off didn't he  RT @mimit00slim: when your girl take the aux cord  http://t.co/AthH82eXus,0,0.0,0,0.0,,0.0,0.0,893865,1087,36088.0,1087231700.0,0,Damien Birkla,2015-04-26 22:11:39.284,Central Time (US & Canada),,32.430274,-85.706183,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,lynn,,0.0,0.0,0.0,01087231700,93.0,niggah got off did not he rt when your girl take the aux cord,0
8,Alabama,AL,01,590643505703346179g,Who tf is you IDK NIGGA pull up on yo block & blow NIGGA,-1,0.0,0,0.0,,0.0,0.0,893865,1101,36110.0,1101000400.0,0,SHANA4QUEEN,2015-04-21 16:29:20.218,null,,32.403337,-86.281062,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,lynn,,-1.0,0.0,1.0,01101000400,93.0,who tf is you idk nigga pull up on yo block blow nigga,0
9,Alabama,AL,01,591127502841511937g,@251Justin yeap but real niggas can stay up all night and get up and make good grades in the a.m.,1,1.0,0,0.0,,0.0,0.0,893865,1097,36582.0,1097006901.0,0,Jake Harke,2015-04-23 00:32:34.287,null,,30.579475,-88.233145,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,lynn,,1.0,1.0,0.0,01097006901,93.0,yeap but real niggas can stay up all night and get up and make good grades in the,1
10,Alabama,AL,01,716386413634191360g,thanks to everybody who came last night ily guys ?? @ Tokyo Japanese https://t.co/DuE9QXQ9Tr,1,,0,,,,,893865,1051,36066.0,1051031300.0,1,Paija J (PjlovesPJ),2016-04-02 16:06:45.952,null,831.0,32.4629967,-86.396892,0.0,Asian,japanese,,,,,1.0,1,,,,1.0,,,,1.0,,,,,shrikha,,1.0,1.0,0.0,01051031300,93.0,thanks to everybody who came last night ily guys tokyo japanese,1
