term,race
asian,asian
asians,asian
filipino,asian
japanese,asian
korean,asian
nepal,asian
pacific islander,asian
thai,asian
vietnamese,asian
chinese,asian
#blacklivesmatter,black
black boy,black
black boys,black
black girl,black
black man,black
black men,black
black people,black
black ppl,black
black woman,black
black women,black
blackgirls,black
blacks,black
blm,black
negro,black
nigga,black
niggas,black
nigger,black
slavery,black
border security,hispanic
border wall,hispanic
cuban,hispanic
domican,hispanic
hispanic,hispanic
latina,hispanic
latino,hispanic
latinos,hispanic
latinx,hispanic
mexican,hispanic
mexicans,hispanic
puerto rican,hispanic
illegal aliens,immigrant
illegal immigrants,immigrant
illegals,immigrant
immigrant,immigrant
immigrants,immigrant
immigration,immigrant
migrant,immigrant
migrants,immigrant
sanctuary,immigrant
undocumented,immigrant
jewish,jewish
jews,jewish
afghan,middle eastern
afghanistan,middle eastern
islam,middle eastern
muslim,middle eastern
muslims,middle eastern
taliban,middle eastern
yemeni,middle eastern
minorities,minority
people of color,minority
poc,minority
racism,minority
racist,minority
racists,minority
biracial,multi-race
interracial,multi-race
cherokee,native american
native american,native american
native americans,native american
sioux,native american
refugee,refugee
caucasian,white
kkk,white
nazis,white
proud boys,white
redneck,white
white boy,white
white boys,white
white girl,white
white girls,white
white guy,white
white man,white
white men,white
white people,white
white ppl,white
white woman,white
white women,white
whites,white
