,tweetid,tweet,target,clean_text
0,643981052525051904,Subtle coconut finish. Slightly bitter in the middle. Pretty smooth oth... (CoCoNut PorTeR) http://t.co/gvpWvcoP1G #photo,1,subtle coconut finish slightly bitter in the middle pretty smooth oth coconut porter photo
1,628411517717860352,Yet another #Sunset @ Metrolink https://t.co/QzPLlo1Iq0,0,yet another sunset metrolink
2,596753338131206144,V.I.P. - Drinking a RecreationAle by @TerrapinBeerCo @ Shaky Knees Music Festval  â?? http://t.co/WlhOZNJztt #photo,0,drinking recreationale by shaky knees music festval photo
3,607638449131298816,Going places! @ Red Bowl Asian Bistro https://t.co/qS5N9V4XxP,0,going places red bowl asian bistro
4,621941896303222784,The world is yours. ð??? #GoPro @ Los Angeles Califonia https://t.co/k6APGO5o1g,0,the world is yours gopro los angeles califonia
5,613551194712211456,Not too burnt... Yet. #Atlantis #Bahamas #sister @ Atlantis Resort At Paradise Island Bahamas https://t.co/UEAlBKHy9z,0,not too burnt yet atlantis bahamas sister atlantis resort at paradise island bahamas
6,613551186009030656,I love fugecamps but it sure is hard to be away from this little guy for too long. #adoptionrocksâ?¦ https://t.co/keBGT4ugCd,0,love fugecamps but it sure is hard to be away from this little guy for too long adoptionrocks
7,607638455145910272,ð???#desert love_claudia13 @ Carabbas https://t.co/MwgJMUVEKA,0,desert love claudia carabbas
8,614863224958283776,Mother/daughter #besomebody experience w/ @chymapet @ Zilker Park https://t.co/8qalJSqeeg,0,mother daughter besomebody experience zilker park
9,643980997730693120,A little bit of @whitesox at #wrigleyfield =P #ACDC #rocknroll #bucketlist #thunderstruck @ Wrigleyâ?¦ https://t.co/u0bSqasxg9,0,little bit of at wrigleyfield acdc rocknroll bucketlist thunderstruck wrigley
10,591328237873078273,"We had the privilege to honor Students of the Month Arrika Hayes,  & Irvin Valle Torres. http://t.co/Se4y3aOvBR",0,we had the privilege to honor students of the month arrika hayes irvin valle torres
11,628411460486602752,How the entire weekend looked like. Definitely one for the books. #notreadyforwork #marincounty @â?¦ https://t.co/ARJMNOEHtl,0,how the entire weekend looked like definitely one for the books notreadyforwork marincounty
12,588064394761875456,you give me this crazy feelingð??­,0,you give me this crazy feeling
13,621941803009355776,There goes my hero. Watch him as he goes. @foofighters #davegrohl #nyc #citifield @ Citi Field https://t.co/iEpHi1pFmo,0,there goes my hero watch him as he goes davegrohl nyc citifield citi field
14,596363661964419072,"The ULTIMATE #tbt. Throwback with Portland Trails' annual party, GORP. Thursday, JUNE 25 at Urbanâ?¦ https://t.co/NJxZ6Vldsq",0,the ultimate tbt throwback with portland trails annual party gorp thursday june at urban
15,613551230464446466,"Red at night, sailor's delight #Boston #ð??? @ Christian Science Center Reflecting Pool https://t.co/aich7KnFzn",0,red at night sailor delight boston christian science center reflecting pool
16,637689013353250816,Cause I don't have to square my photos anymoreð??? #canon #red rocks #Colorado @ Red Rocks Amphitheater https://t.co/UG9lDqSbNq,0,cause do not have to square my photos anymore canon red rocks colorado red rocks amphitheater
17,639910697384718336,â?¤ï¸?ð???ð???  #taylortakeover9415 @ Sea Bright Beach https://t.co/aRgV9k7apI,0,taylortakeover sea bright beach
18,648570171817263104,"@Uber_Pix: Every king needs his queen. http://t.co/Nkhjdd7U6Z"" @JustSoStunning",0,every king needs his queen
19,596363671749664768,In route to the Country Club. #vscocam #utahisrad @sir_maxwelll #bicycles #mtb @ Francis Peak Countryâ?¦ https://t.co/TjcWXnWtJI,0,in route to the country club vscocam utahisrad bicycles mtb francis peak country
20,589511710710624256,An exact photo of me in PE class for Mr. Rhea (ego) http://t.co/wVR1KzQQjW,0,an exact photo of me in pe class for mr rhea ego
21,587035480400736256,Bettering Myself. ð???ð??¼ð???,0,bettering myself
22,614863216523522048,#rainbow colors at the 17th annual #pridebrunch #sf #sanfrancisco @ Hotel Withcomb https://t.co/G64BjLOoH1,0,rainbow colors at the th annual pridebrunch sf sanfrancisco hotel withcomb
23,596363664548040705,#gcspringfest2015 #graysoncollege #govikings @ Grayson College https://t.co/bfPZfRo2aL,0,gcspringfest graysoncollege govikings grayson college
24,628411540815904768,@Real_Liam_Payne say it louder maybe you'll be heard lmao,0,say it louder maybe you ll be heard lmao
25,589511713755635712,UMW Family bonding http://t.co/p9olhHvYBV,0,umw family bonding
26,589511716297318400,ð??? law stay having me laughing,0,law stay having me laughing
27,607638449416478721,I just finished cycling 34.89 miles in 2h:34m:46s with #Endomondo #endorphins http://t.co/27sFgx85hL,0,just finished cycling miles in with endomondo endorphins
28,621941804850503680,Sj always gets the best of me when I'm here. ð??©,0,sj always gets the best of me when here
29,614863231199408129,â?¢An Old Friendâ?¢ @ XvMaryð???ð??¼ https://t.co/g9d3aiZxre,0,an old friend xvmary
30,596363675306332160,Me encantan los NEGROS ALTOSð??­ð??­ð??­ð??­ð??­ð??­ð???ð???,0,me encantan los negros altos
31,660175191008374784,changing weather â?¢ constant friendships ð???ð???ð???ð??? @ Oklahoma Baptist University https://t.co/OWErz3EXMV,0,changing weather constant friendships oklahoma baptist university
32,614863219799097344,Mets vs Reds with the brossss,0,mets vs reds with the brossss
33,614863239348748288,"Christiane ""Defying Gravity"" while belting double E's at last nights concert...#goosebumps @motheatre http://t.co/17EesexmPg",0,christiane defying gravity while belting double at last nights concert goosebumps
34,607638419657904129,La Sallian Ladies showering Hannah! @ Iron Hill Brewery https://t.co/2PC6sj8Iyz,0,la sallian ladies showering hannah iron hill brewery
35,589511715915767809,#youalreadyknow #sangriaswirl #VerandaLove @ Abuelo's Mexican Restaurant https://t.co/fgJq8zm3MS,0,youalreadyknow sangriaswirl verandalove abuelo mexican restaurant
36,596753379612844032,SB: The @famuathletics softball team have secured a a spot tomorrow in the 2015 MEAC Softballâ?¦ https://t.co/2Sf6L8Bokn,0,sb the softball team have secured spot tomorrow in the meac softball
37,591328238980321280,ð???ð???ð???ð??? https://t.co/KdQgcYhTAF,0,
38,589511709305479168,Pretty sure Sadie has peed over 75% of my carpet,0,pretty sure sadie has peed over of my carpet
39,611434818669268992,Walking with the birds http://t.co/AenkpYNH9w,0,walking with the birds
40,621941864258670592,"@comicbook_junki fo sure primo, estare en LA en unas semanas mas.",0,fo sure primo estare en la en unas semanas mas
41,639910736215543808,Wow. Thanks for making me feel even worse about myself than I already do.,0,wow thanks for making me feel even worse about myself than already do
42,621941958915829764,It's always lit here. ð??©ð??? #GoPro #Disneyland @ Mad Tea Party https://t.co/3gG9Urs6Vt,0,it always lit here gopro disneyland mad tea party
43,596363661247143936,Picture of a small airplane flying over the Tami River in Serbia http://t.co/tffhmVkusZ,0,picture of small airplane flying over the tami river in serbia
44,587035487342329856,"I could be in Daytona right now. At stunt fest. But no, school comes first.. ð???",0,could be in daytona right now at stunt fest but no school comes first
45,587035480878817281,"Why the fuck do people go to the mall on weekends"" -employees that work at the mall",0,why the fuck do people go to the mall on weekends employees that work at the mall
46,587035480664977408,@sammymerman SAMMY I HAD A DREAM THAT YOU DIED AND I WOKE UP CRYING,0,sammy had dream that you died and woke up crying
47,587035477036830720,"@happily_insanee @IsaacBenavidez @AkeOTNB when a cop touched them she felt ""sexually assaulted"" stating",0,when cop touched them she felt sexually assaulted stating
48,628411515046129665,@MonaAbdi13 yeah I know nothing about pop culture!,0,yeah know nothing about pop culture
49,614863234894557184,"Breakfast banh mi and salted caramel croissant for me. (@ Valerie in Los Angeles, CA) http://t.co/dglt33LGkI",0,breakfast banh mi and salted caramel croissant for me valerie in los angeles ca
50,660175158997467136,"Accident, shoulder blocked on I-70 WB before Hague Ave, slow traffic back to I-670 Exit 96, delay of 1 min #traffic https://t.co/hylMo0EFh8",0,accident shoulder blocked on wb before hague ave slow traffic back to exit delay of min traffic
51,630790738649878528,"At 10:33 AM, PIE ST Pete Clrwtr Airp [Pinellas Co, FL] ASOS reports MARINE TSTM WIND of M45 MPH #TBW http://t.co/PXMR5P0aGF",0,at am pie st pete clrwtr airp pinellas co fl asos reports marine tstm wind of mph tbw
52,643981072640774144,Prueba WhatsApp Messenger para tu smartphone. Visita https://t.co/7TFAEvIu2G para descargarlo.,0,prueba whatsapp messenger para tu smartphone visita para descargarlo
53,660175165649788928,But what we found out is that each one of us is a brain...and an athleteâ?¦and a basket caseâ?¦aâ?¦ https://t.co/XD6eLL4dL6,0,but what we found out is that each one of us is brain and an athlete and basket case
54,596753352614027264,#OClostfound Please bring our little dog home! (Santa Ana/Tustin area): Someone out there has my little white dog.â?¦ http://t.co/UyqAZfpUMH,0,oclostfound please bring our little dog home santa ana tustin area someone out there has my little white dog
55,630790635302187008,Opened Street or Sidewalk Cleaning request via android at Intersection of 28th Ave & Santiago St http://t.co/jsDAKcRoWl. 2 mattresses dum...,0,opened street or sidewalk cleaning request via android at intersection of th ave santiago st mattresses dum
56,643981040755867648,40 messages from desperate guys on Facebook #stop #notimeforthat,0,messages from desperate guys on facebook stop notimeforthat
57,596363647250759681,Bitch I'm 10 toes down fym â??,0,bitch toes down fym
58,643981038637740032,"I'm at Hollywood Walk of Fame in Hollywood, CA https://t.co/UJM6BbGU4R",0,at hollywood walk of fame in hollywood ca
59,591328242784579584,I gave what I could and it was only a water bottle,0,gave what could and it was only water bottle
60,607638458266484736,"I'm at Cold Stone Creamery - @coldstonecream in Alexandria, VA https://t.co/Kn1Rlsf3LA",0,at cold stone creamery in alexandria va
61,613551229428326401,@angelchris65 Amen... Thanks,0,amen thanks
62,596753338353491968,Literally feel like crying rn...,0,literally feel like crying rn
63,633336681190567936,"@Falls78B k, wyd cous?",0,wyd cous
64,643980980232036352,my guy had a boogie in his nose. @ Staples Center https://t.co/7ZBIARPp1r,0,my guy had boogie in his nose staples center
